OPEN	; OPEN
1615000 ;-40C
1508000 ;-39C
1410000 ;-38C
1318000 ;-37C
1234000 ;-36C
1155000 ;-35C
1083000 ;-34C
1015000 ;-33C
952700 ;-32C
894400 ;-31C
840200 ;-30C
789600 ;-29C
742500 ;-28C
698500 ;-27C
657500 ;-26C
619100 ;-25C
583300 ;-24C
549800 ;-23C
518400 ;-22C
489000 ;-21C
461500 ;-20C
435600 ;-19C
411400 ;-18C
388700 ;-17C
367400 ;-16C
347400 ;-15C
328500 ;-14C
310800 ;-13C
294200 ;-12C
278500 ;-11C
263800 ;-10C
249900 ;-9C
236800 ;-8C
224500 ;-7C
212900 ;-6C
202000 ;-5C
191600 ;-4C
181900 ;-3C
172700 ;-2C
164000 ;-1C
155800 ;0C
148000 ;1C
140700 ;2C
133800 ;3C
127200 ;4C
121000 ;5C
115100 ;6C
109600 ;7C
104300 ;8C
99350 ;9C
94630 ;10C
90160 ;11C
85920 ;12C
81900 ;13C
78090 ;14C
74480 ;15C
71050 ;16C
67800 ;17C
64710 ;18C
61770 ;19C
58990 ;20C
56340 ;21C
53820 ;22C
51430 ;23C
49160 ;24C
47000 ;25C
44940 ;26C
42990 ;27C
41130 ;28C
39360 ;29C
37670 ;30C
36060 ;31C
34530 ;32C
33080 ;33C
31690 ;34C
30360 ;35C
29100 ;36C
27900 ;37C
26750 ;38C
25660 ;39C
24610 ;40C
23620 ;41C
22660 ;42C
21750 ;43C
20890 ;44C
20060 ;45C
19270 ;46C
18510 ;47C
17790 ;48C
17090 ;49C
16430 ;50C
15800 ;51C
15190 ;52C
14620 ;53C
14060 ;54C
13530 ;55C
13020 ;56C
12540 ;57C
12070 ;58C
11630 ;59C
11200 ;60C
10790 ;61C
10400 ;62C
10020 ;63C
9658 ;64C
9311 ;65C
8979 ;66C
8660 ;67C
8354 ;68C
8061 ;69C
7779 ;70C
7508 ;71C
7248 ;72C
6998 ;73C
6759 ;74C
6528 ;75C
6306 ;76C
6093 ;77C
5888 ;78C
5692 ;79C
5502 ;80C
5320 ;81C
5144 ;82C
4976 ;83C
4813 ;84C
4657 ;85C
4506 ;86C
4361 ;87C
4222 ;88C
4087 ;89C
3958 ;90C
3833 ;91C
3712 ;92C
3596 ;93C
3484 ;94C
3376 ;95C
3272 ;96C
3172 ;97C
3075 ;98C
2982 ;99C
2891 ;100C
2804 ;101C
2720 ;102C
2639 ;103C
2561 ;104C
2485 ;105C
2412 ;106C
2341 ;107C
2273 ;108C
2207 ;109C
2143 ;110C
2082 ;111C
2022 ;112C
1964 ;113C
1909 ;114C
1855 ;115C
1802 ;116C
1752 ;117C
1703 ;118C
1656 ;119C
1610 ;120C
1566 ;121C
1523 ;122C
1481 ;123C
1441 ;124C
1402 ;125C
1364 ;126C
1328 ;127C
1292 ;128C
1258 ;129C
1224 ;130C
1192 ;131C
1161 ;132C
1130 ;133C
1101 ;134C
1072 ;135C
1045 ;136C
1018 ;137C
992 ;138C
966 ;139C
942 ;140C
918 ;141C
895 ;142C
872 ;143C
850 ;144C
829 ;145C
809 ;146C
789 ;147C
769 ;148C
750 ;149C
732 ;150C
